architecture,gender,ar,bg,bn,cs,da,de,el,en,es,et,fa,fi,fr,ga,hi,hr,hu,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,sw,th,tk,tr,uk,vi,zh,zh-cn
tacotron-DDC,male,,,,,,,,0.004589065477671368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2,female,,,,,,,,0.21259952883916572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2,male,,,,,,,,0.1914023511360049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DCA,female,,,,,,0.19411545127021765,,0.6057944858484091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DCA,male,,,,,,0.15904795749310177,,0.5975995223658669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DCA,mix,,,,,,0.10146156369058852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC,female,,,,,,0.9980946794456366,,0.7672334330522336,0.02322354026136178,,,,0.055666048496279256,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC,male,,,,,,0.9949347149553917,,0.7439919399176984,0.023406435721996875,,,,0.0504719175764662,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC,mix,,,,,,0.9943210676636747,,,0.005028894157608207,,,,0.025781655528580614,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC-GST,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8041484862335431
tacotron2-DDC-GST,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8057121985286692
tacotron2-DDC_ph,female,,,,,,,,0.948332517305472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC_ph,male,,,,,,,,0.9368285673039326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortoise-v2,female,,,,,,,,0.9584632554921406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortoise-v2,male,,,,,,,,0.9741885267262625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits,female,,0.14077150364490848,,0.02991708583349743,0.01790511093916839,0.9948756536364388,0.6336303071404648,0.9880173956436155,0.9196620007666448,0.4062341783242442,,0.33644026521496645,0.09656549876770446,0.006604874009952022,,0.013482771290664535,0.735548525688841,0.0011406122715931092,,,0.4829375897602265,0.05201450677344525,0.24782426698759505,,0.14447989454924137,0.017446713932074517,0.5541043488011886,,0.03989754867559582,0.17731569466353372,0.05536480201363818,,,,,0.535400290478916,,,
vits,male,,0.12546599523386254,,0.0309786936515086,0.012573275562946191,0.9940762749602717,0.6293298055283755,0.9910120862225692,0.9437495566734047,0.4278516053504071,,0.37778200779105015,0.09347636612849378,0.001554819650100166,,0.01337117983692567,0.7779608087381459,8.876999974112566e-06,,,0.5107550027862995,0.0554851258265393,0.28428447687330816,,0.2481078048884884,0.01595764841130981,0.5362244206878691,,0.024373896322229242,0.15184776801896074,0.030497351830322966,,,,,0.4506340590786666,,,
vits,mix,,,,,,0.9996925457570348,,,0.9452543984930883,,,,0.11325045051308881,,,,,0.0008004215798253633,,,,,,,,,,,,,,,,,,,,,
vits--neon,female,,,,,,,,0.9772981315604126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits--neon,male,,,,,,,,0.991995200346101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-female,female,,,0.9963336008293819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-female,male,,,0.9916948856060345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-male,female,,,0.995655767588997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-male,male,,,0.9998146538381223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-neon,female,,,,,,0.83881458851383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-neon,male,,,,,,0.8334566511507943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-neon,mix,,,,,,0.8779693736852997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vixTTS,female,,,,,,,,0.015992148355979573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006261784321544238,,
vixTTS,male,,,,,,,,0.015734845416892827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.196269776108893e-05,,
xtts_v1.1,female,0.19970992767212573,,,0.42543188770209167,,0.20444126838506416,,0.4749699223399663,0.3143692071580118,,,,0.14620539804994698,,,,,0.14054311288626053,0.08605771278478215,,,,,0.35467750686237387,0.5775008458085389,0.08637017834493148,,0.3665798834900973,,,,,,,0.26789304604629455,,,,0.057198616223072624
xtts_v1.1,male,0.17911952215793647,,,0.4517953651402002,,0.19237517338060686,,0.49211735115947286,0.26781055645760327,,,,0.16908339274946416,,,,,0.15101425697177878,0.09105229946347171,,,,,0.3073475759471211,0.6595472939121894,0.087283448427698,,0.31225316378933277,,,,,,,0.27851633391422276,,,,0.04853427427598214
xtts_v1.1,mix,,,,,,0.2126896405612455,,,0.19631984831922497,,,,0.1903658785170619,,,,,0.17352473932194348,,,,,,,,,,,,,,,,,,,,,
xtts_v2,female,0.27355622973768895,,,0.39096392946685377,,0.4957236447543592,,0.5171120495368667,0.650746250747951,,,,0.7114471432362586,,0.19242783973477048,,0.40251549813154425,0.42704823484139826,0.24755110939165131,0.1079057939785933,,,,0.383285675465595,0.663303765191296,0.3362734737472823,,0.648085667833666,,,,,,,0.3370179978488172,,,,0.10207528382986643
xtts_v2,male,0.2689880567963574,,,0.3669519925010037,,0.45933289772305025,,0.4973126028822138,0.6288251078643476,,,,0.7286133814704172,,0.18915330413371048,,0.393589785220092,0.5574088379503273,0.22138640297587034,0.10387019392659423,,,,0.40019784088810106,0.6876036189388518,0.28828518939338066,,0.6269149395449239,,,,,,,0.3696376696257969,,,,0.09434569955005065
xtts_v2,mix,,,,,,0.5333822922791822,,,0.5846800811893271,,,,0.6706385494564592,,,,,0.5647029926723894,,,,,,,,,,,,,,,,,,,,,
